MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0058,"49-94-0058 Milw 12""x1/8""x20mm Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0058,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0058, 12 in Diameter",CUT-OFF WHEEL 12IN 0.125IN 20MM METAL 1,"49-94-0058 Cut-Off Wheel, 12 in Diameter, 0.125 in Thickness, 20 mm Arbor Size, metal Application","Cut-Off Wheel, 12 in Diameter, 0.125 in Thickness, 20 mm Arbor Size, metal Application, Cut Off Disc Wheel Type, 1 Quantity","Cut-Off Wheel, 12 in Diameter, 0.125 in Thickness, 20 mm Arbor Size, metal Application, Cut Off Disc Wheel Type",,12 in,0.125 in,20 mm,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,12,in,Thickness,0.125,in,Arbor Size,20,mm,Application,metal,,Wheel Type,Cut Off Disc,,Abrasive,,,Maximum Speed,,,Quantity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0063,"49-94-0063 Milw 14""x7/64""x1"" Metal Cut Off Disc General Purpose",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0063,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0063, 14 in Diameter",CUT-OFF WHEEL 14IN 0.109375IN 1IN METAL,"49-94-0063 Cut-Off Wheel, 14 in Diameter, 0.109375 in Thickness, 1 in Arbor Size, metal Application, Cut Off Wheel Type","Cut-Off Wheel, 14 in Diameter, 0.109375 in Thickness, 1 in Arbor Size, metal Application, Cut Off Wheel Type, General Purpose Quantity","Cut-Off Wheel, 14 in Diameter, 0.109375 in Thickness, 1 in Arbor Size, metal Application, Cut Off Wheel Type",,14 in,0.109375 in,1 in,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,14,in,Thickness,0.109375,in,Arbor Size,1,in,Application,metal,,Wheel Type,Cut Off,,Abrasive,,,Maximum Speed,,,Quantity,General Purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0068,"49-94-0068 Milw 14""x1/8""x20mm Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0068,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0068, 14 in Diameter",CUT-OFF WHEEL 14IN 0.125IN 20MM METAL 1,"49-94-0068 Cut-Off Wheel, 14 in Diameter, 0.125 in Thickness, 20 mm Arbor Size, metal Application","Cut-Off Wheel, 14 in Diameter, 0.125 in Thickness, 20 mm Arbor Size, metal Application, Cut Off Disc Wheel Type, 1 Quantity","Cut-Off Wheel, 14 in Diameter, 0.125 in Thickness, 20 mm Arbor Size, metal Application, Cut Off Disc Wheel Type",,14 in,0.125 in,20 mm,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,14,in,Thickness,0.125,in,Arbor Size,20,mm,Application,metal,,Wheel Type,Cut Off Disc,,Abrasive,,,Maximum Speed,,,Quantity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0073,"49-94-0073 Milw 14""x1/8""x1"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0073,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0073, 14 in Diameter",CUT-OFF WHEEL 14IN 0.125IN 1IN METAL 1,"49-94-0073 Cut-Off Wheel, 14 in Diameter, 0.125 in Thickness, 1 in Arbor Size, metal Application, Cut Off Wheel Type","Cut-Off Wheel, 14 in Diameter, 0.125 in Thickness, 1 in Arbor Size, metal Application, Cut Off Wheel Type, 1 Quantity","Cut-Off Wheel, 14 in Diameter, 0.125 in Thickness, 1 in Arbor Size, metal Application, Cut Off Wheel Type, 1 Quantity",,14 in,0.125 in,1 in,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,14,in,Thickness,0.125,in,Arbor Size,1,in,Application,metal,,Wheel Type,Cut Off,,Abrasive,,,Maximum Speed,,,Quantity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0101,"49-94-0101 Milw 4-1/2""x.045""x7/8"" Perform+ Metal Cut Off Disc 10pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0101,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0101, 4.5 in Diameter",CUT-OFF WHEEL 4.5IN .045IN 0.875IN 10 PC,"49-94-0101 Cut-Off Wheel, 4.5 in Diameter, .045 in Thickness, 0.875 in Arbor Size, 10 pc Quantity","Cut-Off Wheel, 4.5 in Diameter, .045 in Thickness, 0.875 in Arbor Size, 10 pc Quantity","Cut-Off Wheel, 4.5 in Diameter, .045 in Thickness, 0.875 in Arbor Size, 10 pc Quantity",,4.5 in,.045 in,0.875 in,,,,,,,,,,,,,,,,,,,,,,,,Diameter,4.5,in,Thickness,.045,in,Arbor Size,0.875,in,Application,,,Wheel Type,,,Abrasive,,,Maximum Speed,,,Quantity,10 pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,10,PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0107,"49-94-0107 Milw 4-1/2""x.045""x7/8"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0107,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0107, 4.5 in Diameter",CUT-OFF WHEEL 4.5IN .045IN 0.875IN METAL,"49-94-0107 Cut-Off Wheel, 4.5 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application","Cut-Off Wheel, 4.5 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application","Cut-Off Wheel, 4.5 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application",,4.5 in,.045 in,0.875 in,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,4.5,in,Thickness,.045,in,Arbor Size,0.875,in,Application,metal,,Wheel Type,,,Abrasive,,,Maximum Speed,,,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0117,"49-94-0117 Milw 5""x.045""x7/8"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0117,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0117, 5 in Diameter",CUT-OFF WHEEL 5IN .045IN 0.875IN METAL,"49-94-0117 Cut-Off Wheel, 5 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application","Cut-Off Wheel, 5 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application, Performance+ Abrasive","Cut-Off Wheel, 5 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application, Performance+ Abrasive",,5 in,.045 in,0.875 in,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,5,in,Thickness,.045,in,Arbor Size,0.875,in,Application,metal,,Wheel Type,,,Abrasive,Performance+,,Maximum Speed,,,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0123,"49-94-0123 Milw 6""x.045""x7/8"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0123,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0123, 6 in Diameter",CUT-OFF WHEEL 6IN .045IN 0.875IN METAL,"49-94-0123 Cut-Off Wheel, 6 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application","Cut-Off Wheel, 6 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application","Cut-Off Wheel, 6 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application",,6 in,.045 in,0.875 in,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,6,in,Thickness,.045,in,Arbor Size,0.875,in,Application,metal,,Wheel Type,,,Abrasive,,,Maximum Speed,,,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0023,"49-94-0023 Milw 6""x.045""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0023,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0023, 6 in Diameter",CUT-OFF WHEEL 6IN .045IN 0.875IN METAL,"49-94-0023 Cut-Off Wheel, 6 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application, Cut Off Wheel Type","Cut-Off Wheel, 6 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application, Cut Off Wheel Type","Cut-Off Wheel, 6 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application, Cut Off Wheel Type",,6 in,.045 in,0.875 in,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,6,in,Thickness,.045,in,Arbor Size,0.875,in,Application,metal,,Wheel Type,Cut Off,,Abrasive,,,Maximum Speed,,,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0121,"49-94-0121 Milw 6""x.045""x7/8"" Performance+ Metal Cut Off Disc 10pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0121,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0121, 6 in Diameter",CUT-OFF WHEEL 6IN .045IN 0.875IN 10 PC,"49-94-0121 Cut-Off Wheel, 6 in Diameter, .045 in Thickness, 0.875 in Arbor Size, 10 pc Quantity","Cut-Off Wheel, 6 in Diameter, .045 in Thickness, 0.875 in Arbor Size, 10 pc Quantity","Cut-Off Wheel, 6 in Diameter, .045 in Thickness, 0.875 in Arbor Size, 10 pc Quantity",,6 in,.045 in,0.875 in,,,,,,,,,,,,,,,,,,,,,,,,Diameter,6,in,Thickness,.045,in,Arbor Size,0.875,in,Application,,,Wheel Type,,,Abrasive,,,Maximum Speed,,,Quantity,10 pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,10,PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0127,"49-94-0127 Milw 6""x.045""x7/8"" Performance+Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0127,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0127, 6 in Diameter",CUT-OFF WHEEL 6IN .045IN 0.875IN METAL 1,"49-94-0127 Cut-Off Wheel, 6 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application, Cut Off Wheel Type","Cut-Off Wheel, 6 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application, Cut Off Wheel Type, 1 Quantity","Cut-Off Wheel, 6 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application, Cut Off Wheel Type, 1 Quantity",,6 in,.045 in,0.875 in,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,6,in,Thickness,.045,in,Arbor Size,0.875,in,Application,metal,,Wheel Type,Cut Off,,Abrasive,,,Maximum Speed,,,Quantity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0137,"49-94-0137 Milw 7""x3/32""x7/8"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0137,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0137, 7 in Diameter",CUT-OFF WHEEL 7IN 0.09375IN 0.875IN 7RPM,"49-94-0137 Cut-Off Wheel, 7 in Diameter, 0.09375 in Thickness, 0.875 in Arbor Size, metal Application","Cut-Off Wheel, 7 in Diameter, 0.09375 in Thickness, 0.875 in Arbor Size, metal Application, 7 RPM Maximum Speed, 1 Quantity","Cut-Off Wheel, 7 in Diameter, 0.09375 in Thickness, 0.875 in Arbor Size, metal Application, 7 RPM Maximum Speed",,7 in,0.09375 in,0.875 in,7 RPM,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,7,in,Thickness,0.09375,in,Arbor Size,0.875,in,Application,metal,,Wheel Type,,,Abrasive,,,Maximum Speed,7,RPM,Quantity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0160,"49-94-0160 Milw 14""x7/64""x1"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0160,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0160, 14 in Diameter",CUT-OFF WHEEL 14IN 0.109375IN 1IN METAL,"49-94-0160 Cut-Off Wheel, 14 in Diameter, 0.109375 in Thickness, 1 in Arbor Size, metal Application","Cut-Off Wheel, 14 in Diameter, 0.109375 in Thickness, 1 in Arbor Size, metal Application, 14 RPM Maximum Speed, 1 Quantity","Cut-Off Wheel, 14 in Diameter, 0.109375 in Thickness, 1 in Arbor Size, metal Application, 14 RPM Maximum Speed",,14 in,0.109375 in,1 in,14 RPM,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,14,in,Thickness,0.109375,in,Arbor Size,1,in,Application,metal,,Wheel Type,,,Abrasive,,,Maximum Speed,14,RPM,Quantity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0223,"49-94-0223 Milw 6""x.045""x7/8"" Ceramic+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0223,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0223, 6 in Diameter",CUT-OFF WHEEL 6IN .045IN 0.875IN METAL,"49-94-0223 Cut-Off Wheel, 6 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application, Ceramic+ Wheel Type","Cut-Off Wheel, 6 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application, Ceramic+ Wheel Type","Cut-Off Wheel, 6 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application, Ceramic+ Wheel Type",,6 in,.045 in,0.875 in,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,6,in,Thickness,.045,in,Arbor Size,0.875,in,Application,metal,,Wheel Type,Ceramic+,,Abrasive,,,Maximum Speed,,,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
