SKU,Column,Attribute,Value,UOM,Provenance,Certified,Nonconformity,Source Quote,Verifier Signals
49-94-1925,ATTRIBUTE_VALUE 4,material_application,masonry,,extracted,no,,Masonry,"dimensional: abstained (material_application is nominal, not a physical quantity) ; constraint: abstained (no constraint in abrasive.cutoff_disc mentions material_application) ; identity: abstained (material_application is not an identity claim) ; vocabulary: 1.00 ('masonry' is a declared term for material_application)"
49-94-1925,ATTRIBUTE_LABEL 5,wheel_type,Wheel Type,,derived,yes,,,"dimensional: abstained (wheel_type is nominal, not a physical quantity) ; constraint: abstained (no constraint in abrasive.cutoff_disc mentions wheel_type) ; identity: abstained (wheel_type is not an identity claim) ; vocabulary: 0.00 ('Cut Off' is not a term wheel_type accepts. This category allows 'type 1 flat', 'type 27 depressed center', 'type 41 flat', 'type 42 depressed center'. A plausible-sounding value outside the vocabulary is exactly the failure a confidence score does not catch.)"
49-94-1925,ATTRIBUTE_VALUE 5,wheel_type,Cut Off,,extracted,no,,Cut Off,"dimensional: abstained (wheel_type is nominal, not a physical quantity) ; constraint: abstained (no constraint in abrasive.cutoff_disc mentions wheel_type) ; identity: abstained (wheel_type is not an identity claim) ; vocabulary: 0.00 ('Cut Off' is not a term wheel_type accepts. This category allows 'type 1 flat', 'type 27 depressed center', 'type 41 flat', 'type 42 depressed center'. A plausible-sounding value outside the vocabulary is exactly the failure a confidence score does not catch.)"
49-94-1925,ATTRIBUTE_LABEL 6,abrasive_grain,Abrasive,,derived,yes,,,
49-94-1925,ATTRIBUTE_LABEL 7,max_rpm,Maximum Speed,,derived,yes,,,
49-94-1925,ATTRIBUTE_LABEL 8,pack_quantity,Quantity,,derived,yes,,,"dimensional: 0.55 ('1' carries no unit; assuming dimensionless. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 1 constraint(s) on pack_quantity hold) ; identity: abstained (pack_quantity is not an identity claim) ; vocabulary: abstained (pack_quantity is quantity, not a controlled term)"
49-94-1925,ATTRIBUTE_VALUE 8,pack_quantity,1,,extracted,no,,1,"dimensional: 0.55 ('1' carries no unit; assuming dimensionless. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 1 constraint(s) on pack_quantity hold) ; identity: abstained (pack_quantity is not an identity claim) ; vocabulary: abstained (pack_quantity is quantity, not a controlled term)"
49-94-1925,UNSPSC,,23101500,,routed,yes,,"Cut | Off | Disc | Cut Off | 10""x1/8""x5/8""",
49-94-1925,Selling Qty,pack_quantity,1,,derived,yes,,1,"dimensional: 0.55 ('1' carries no unit; assuming dimensionless. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 1 constraint(s) on pack_quantity hold) ; identity: abstained (pack_quantity is not an identity claim) ; vocabulary: abstained (pack_quantity is quantity, not a controlled term)"
49-94-1925,Selling UOM,pack_quantity,EA,,derived,yes,,,"dimensional: 0.55 ('1' carries no unit; assuming dimensionless. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 1 constraint(s) on pack_quantity hold) ; identity: abstained (pack_quantity is not an identity claim) ; vocabulary: abstained (pack_quantity is quantity, not a controlled term)"
49-94-1935,Dept,,Tools & Equipment,,routed,yes,,"Cut | Off | Disc | Cut Off | 12""x1/8""x1""",
49-94-1935,Class,,Power Tool Accessories,,routed,yes,,"Cut | Off | Disc | Cut Off | 12""x1/8""x1""",
49-94-1935,Fine,,Cut-Off & Grinding Wheels,,routed,yes,,"Cut | Off | Disc | Cut Off | 12""x1/8""x1""",
49-94-1935,Mfg_Part_Num,,49-94-1935,,passthrough,yes,,,
49-94-1935,Part_Desc,,"49-94-1935 Milw 12""x1/8""x1"" Masonry Cut Off Disc",,passthrough,yes,,,
49-94-1935,E1_Brand,,-- Unbranded --,,passthrough,yes,,,
49-94-1935,Unilog_Brand,,-- No Unilog Brand --,,passthrough,yes,,,
49-94-1935,DIB_Brand,,-- No DIB Brand --,,passthrough,yes,,,
49-94-1935,Part_Manuf,,Milwaukee Accessory (4031),,passthrough,yes,,,
49-94-1935,MANUFACTURER_NAME,,Milwaukee Accessory,,passthrough,yes,,,
49-94-1935,MANUFACTURER_PART_NUMBER,,49-94-1935,,passthrough,yes,,,
49-94-1935,Classpath,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,,routed,yes,,"Cut | Off | Disc | Cut Off | 12""x1/8""x1""",
49-94-1935,MOBILE_DESC,,"Milwaukee Accessory, Cut-Off Wheel, 49-94-1935, 12 in Diameter",,composed,yes,,12,
49-94-1935,INVOICE_DESC,,CUT-OFF WHEEL 12IN 0.125IN 1IN MASONRY 1,,composed,yes,,12 | 1/8 | 1 | Masonry,
49-94-1935,SHORT_DESC,,"49-94-1935 Cut-Off Wheel, 12 in Diameter, 0.125 in Thickness, 1 in Arbor Size, masonry Application, Cut Off Wheel Type",,composed,yes,,12 | 1/8 | 1 | Masonry | Cut Off,
49-94-1935,LONG_DESC1,,"Cut-Off Wheel, 12 in Diameter, 0.125 in Thickness, 1 in Arbor Size, masonry Application, Cut Off Wheel Type, 1 Quantity",,composed,yes,,12 | 1/8 | 1 | Masonry | Cut Off,
49-94-1935,RETAIL_DESC,,"Cut-Off Wheel, 12 in Diameter, 0.125 in Thickness, 1 in Arbor Size, masonry Application, Cut Off Wheel Type, 1 Quantity",,composed,yes,,12 | 1/8 | 1 | Masonry | Cut Off,
49-94-1935,ITEM_FEATURES_1,,12 in,,composed,yes,,12,
49-94-1935,ITEM_FEATURES_2,,0.125 in,,composed,yes,,1/8,
49-94-1935,ITEM_FEATURES_3,,1 in,,composed,yes,,1,
49-94-1935,Application,material_application,masonry,,derived,yes,,Masonry,"dimensional: abstained (material_application is nominal, not a physical quantity) ; constraint: abstained (no constraint in abrasive.cutoff_disc mentions material_application) ; identity: abstained (material_application is not an identity claim) ; vocabulary: 1.00 ('masonry' is a declared term for material_application)"
49-94-1935,ATTRIBUTE_LABEL 1,disc_diameter,Diameter,,derived,yes,,,"dimensional: 0.55 ('12' carries no unit; assuming millimeter. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 3 constraint(s) on disc_diameter hold) ; identity: abstained (disc_diameter is not an identity claim) ; vocabulary: abstained (disc_diameter is quantity, not a controlled term)"
49-94-1935,ATTRIBUTE_VALUE 1,disc_diameter,12,,extracted,no,,12,"dimensional: 0.55 ('12' carries no unit; assuming millimeter. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 3 constraint(s) on disc_diameter hold) ; identity: abstained (disc_diameter is not an identity claim) ; vocabulary: abstained (disc_diameter is quantity, not a controlled term)"
49-94-1935,ATTRIBUTE_UOM 1,disc_diameter,in,,derived,no,,,"dimensional: 0.55 ('12' carries no unit; assuming millimeter. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 3 constraint(s) on disc_diameter hold) ; identity: abstained (disc_diameter is not an identity claim) ; vocabulary: abstained (disc_diameter is quantity, not a controlled term)"
49-94-1935,ATTRIBUTE_LABEL 2,thickness,Thickness,,derived,yes,,,"dimensional: 0.55 ('0.125' carries no unit; assuming millimeter. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 2 constraint(s) on thickness hold) ; identity: abstained (thickness is not an identity claim) ; vocabulary: abstained (thickness is quantity, not a controlled term)"
49-94-1935,ATTRIBUTE_VALUE 2,thickness,0.125,,extracted,no,,1/8,"dimensional: 0.55 ('0.125' carries no unit; assuming millimeter. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 2 constraint(s) on thickness hold) ; identity: abstained (thickness is not an identity claim) ; vocabulary: abstained (thickness is quantity, not a controlled term)"
49-94-1935,ATTRIBUTE_UOM 2,thickness,in,,derived,no,,,"dimensional: 0.55 ('0.125' carries no unit; assuming millimeter. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 2 constraint(s) on thickness hold) ; identity: abstained (thickness is not an identity claim) ; vocabulary: abstained (thickness is quantity, not a controlled term)"
